servicetime,status,latency
0.019541323,0.065680,200
0.019224964,0.069402,200
0.01754417,0.068874,200
0.02164267,0.070288,200
0.01651486,0.067770,200
0.018405149,0.065677,200
0.024002569,0.072113,200
0.015946781,0.064667,200
0.01615498,0.065514,200
0.017390639,0.067741,200
0.015083196,0.064178,200
0.015351945,0.062866,200
0.015485357,0.064515,200
0.01439991,0.065579,200
0.015658412,0.063125,200
0.013791885,0.061547,200
0.01913908,0.068464,200
0.017440716,0.065722,200
0.017019443,0.064973,200
0.016495815,0.066585,200
0.01736182,0.066769,200
0.015284129,0.064005,200
0.01747382,0.066380,200
0.023248982,0.071723,200
0.017755484,0.067281,200
0.019443236,0.069337,200
0.024481395,0.072997,200
0.017565038,0.066729,200
0.019066691,0.067071,200
0.020696968,0.067194,200
0.019517263,0.067956,200
0.02016836,0.074325,200
0.02043842,0.070411,200
0.01947562,0.066554,200
0.021362487,0.069319,200
0.023295786,0.072526,200
0.020848364,0.072458,200
0.022174092,0.070707,200
0.01730206,0.068075,200
0.028112756,0.078415,200
0.0181837,0.065411,200
0.021080434,0.069486,200
0.021335127,0.069285,200
0.020232756,0.072294,200
0.01837699,0.068038,200
0.034157228,0.096516,200
0.033851955,0.083166,200
0.017780907,0.065635,200
0.018399542,0.066341,200
0.017672088,0.069058,200
0.024737151,0.075039,200
0.022867383,0.073917,200
0.017359262,0.065495,200
0.019689158,0.069920,200
0.019618042,0.068382,200
0.017337147,0.067309,200
0.022928935,0.074417,200
0.029826568,0.077099,200
0.021947443,0.071885,200
0.019451246,0.080489,200
0.019875536,0.067942,200
0.019326188,0.069566,200
0.017335268,0.072594,200
0.01825986,0.078518,200
0.019329496,0.073963,200
0.016465642,0.064436,200
0.028093072,0.085097,200
0.026093733,0.074902,200
,0.005861,503
,0.005238,503
,0.005243,503
0.016570065,0.022686,200
0.01664913,0.066389,200
0.022280764,0.072684,200
0.0221608,0.070684,200
0.015839798,0.064455,200
0.020215992,0.067702,200
0.018590499,0.066806,200
0.021520903,0.070514,200
0.016467338,0.064762,200
0.019265318,0.069316,200
0.023993945,0.073431,200
0.018740354,0.067077,200
0.025091464,0.079993,200
0.016751358,0.066310,200
0.018498484,0.065057,200
0.02109752,0.069073,200
0.018334767,0.067839,200
0.01796926,0.074941,200
0.018648567,0.068357,200
0.017288247,0.067147,200
0.018487971,0.067976,200
0.022911968,0.072740,200
0.019015163,0.068508,200
0.017321836,0.065043,200
0.021903483,0.071984,200
0.015792849,0.065033,200
0.018761951,0.067622,200
0.020592324,0.068206,200
0.017876398,0.066708,200
0.019259151,0.067389,200
0.019478573,0.066220,200
0.020521896,0.070797,200
0.019548018,0.069816,200
0.02249543,0.072107,200
0.022375409,0.070112,200
0.017805235,0.066741,200
0.015883937,0.065331,200
0.01850235,0.065349,200
0.016149709,0.066614,200
0.020866549,0.069372,200
0.018268844,0.066351,200
